EID	aperture	FoV	pixel_scale	tracking accuracy (")	limiting magnitude (mag)	elevation limit (deg)	"mount type (german, fork, theodolite)"	camera_type_1	camera_type_2	Johnson B	Johnson V	Johnson R	SDSS u	SDSS g	SDSS r	SDSS i	SDSS z
26	3.368304191	226.616457	2.793209699	0.839967209	10.36736618	21.90071842	german	mono	cooled	y	y	y	y	n	y	y	y
27	9.467560578	478.8826469	0.189069407	0.187560543	14.00930328	24.87424765	fork	mono	cooled	y	y	y	y	n	y	y	y
28	1.360916261	41.05273323	2.049244852	0.685276279	13.81667059	29.37978002	german	mono	uncooled	y	n	n	y	y	y	y	y
29	9.618050533	302.8783792	1.797797895	0.325474385	14.32759914	34.87493843	fork	colored	cooled	y	y	y	n	y	y	y	n
30	1.510077167	75.86611683	0.634981799	0.505983749	8.451050842	31.79555652	fork	mono	cooled	y	y	n	y	y	y	n	n
31	4.41427791	469.4851239	2.202518715	0.825924102	15.41740724	25.44337234	fork	colored	cooled	y	y	n	y	n	y	y	y
32	7.792867677	160.8502833	0.756248703	0.879336647	23.13118028	17.27983362	theodolite	mono	cooled	y	n	y	y	n	y	y	y
33	0.268048098	318.6788215	0.899765712	0.513403448	17.63409069	26.1089493	german	mono	cooled	n	y	y	y	y	y	y	y
34	0.917981669	214.4188145	2.910252959	0.288365677	8.610031429	14.23625093	german	mono	cooled	n	y	y	y	y	n	y	y
35	9.941851875	302.1229854	1.767712314	0.920871447	23.47600613	15.91015731	fork	mono	cooled	y	y	y	y	y	y	y	y
36	1.032155041	565.5203398	1.768143907	0.368810939	16.76236755	19.8647698	fork	colored	uncooled	y	y	n	n	y	y	y	y
37	0.814956681	428.3920828	0.521398064	0.954659858	8.396098246	33.71957681	fork	colored	cooled	y	n	y	y	n	n	y	n
38	6.64847315	61.54935675	2.930527214	0.386833189	11.10947482	23.57292613	fork	mono	cooled	y	y	y	y	y	y	n	y
39	7.423078465	110.2609386	0.15069201	0.22414117	18.98101238	18.80961219	fork	mono	cooled	n	y	y	y	y	y	y	y
40	6.964154138	427.1721752	2.067163951	0.376966233	15.36237238	29.78223831	german	mono	cooled	y	y	y	n	y	y	y	y
41	4.494218209	5.625435854	0.497492253	0.585255313	10.60628367	16.38549631	german	mono	cooled	y	n	y	y	n	y	n	y
42	8.722340602	136.9222864	0.908407438	0.329595351	9.441206797	19.54221518	fork	mono	cooled	y	y	y	y	y	y	y	y
43	2.893225263	305.4950812	2.631561167	0.119006524	19.48177536	23.16840675	fork	mono	cooled	n	n	y	y	y	y	y	y
44	1.246418557	194.715165	1.459918705	0.215258847	16.59384531	28.63246444	theodolite	mono	cooled	y	n	y	y	y	y	y	y
45	7.565661666	460.6691638	1.027775835	0.325973291	16.32793052	24.81223492	fork	mono	cooled	y	y	y	y	y	n	y	y
46	8.437923002	102.8963734	1.176728919	0.412179272	24.60957582	15.7855415	theodolite	colored	cooled	y	y	y	y	y	y	y	y
47	6.09426303	594.1105599	0.233245939	0.546782299	15.49951666	12.64690276	german	mono	cooled	y	y	y	y	y	y	y	y
48	1.266014325	217.7255309	1.980305626	0.887217334	23.66580451	26.6540525	theodolite	mono	cooled	y	y	y	y	y	y	y	y
49	6.034327919	305.0456183	1.007088272	0.286356902	18.3094797	22.55653103	fork	mono	cooled	y	y	y	y	n	y	y	y
50	4.379769094	124.7326505	1.688301592	0.978751579	18.12173594	23.10967634	german	mono	cooled	n	y	y	y	y	n	y	y
51	5.308855295	185.2618869	1.554417473	0.455643926	20.31901344	14.10542927	fork	mono	cooled	y	n	y	y	y	y	y	y
52	0.446020006	466.5252345	0.575368071	0.909516823	8.785047393	16.04104496	fork	mono	cooled	y	y	n	y	y	y	y	y
53	3.438261866	579.2702518	0.864399938	0.79068157	24.69482792	30.71075039	fork	mono	uncooled	y	y	y	y	y	n	y	y
54	6.261229323	139.5866724	1.27346395	0.370235714	15.74891961	21.70063367	german	mono	cooled	n	y	n	y	y	n	n	y
55	7.284546304	457.2194081	2.895882392	0.891445471	13.62223557	26.89313758	fork	colored	cooled	y	n	y	y	n	y	n	y
56	2.609095556	331.7640894	1.014824618	0.228350967	12.70203765	18.74468052	fork	mono	uncooled	y	y	y	y	n	y	n	y
57	5.102802363	31.48857819	0.751466305	0.815607642	10.47066099	27.84084542	theodolite	mono	cooled	y	y	y	y	y	y	y	y
58	9.835143782	59.77440211	2.076444517	0.79240023	11.34885323	22.6426086	fork	mono	cooled	y	y	y	y	y	y	y	y
59	6.966683772	579.8797491	0.893859131	0.236535704	23.19765977	28.97174744	theodolite	mono	cooled	y	n	y	y	y	y	n	y
60	8.412473643	368.7590828	1.194075052	0.426653694	14.27342958	16.22945493	fork	colored	cooled	y	y	y	n	y	y	y	y
61	4.683619967	44.54655643	1.621872643	0.301352974	13.86752893	12.76984472	fork	mono	cooled	y	n	y	n	y	n	n	y
62	6.557809098	409.360082	0.333087659	0.84028751	21.30169112	20.4143912	theodolite	mono	cooled	y	y	y	n	y	y	y	y
63	2.850036903	147.0084992	2.66966857	0.693989628	20.04550681	31.4594889	fork	mono	cooled	y	y	y	y	n	y	n	y
64	6.70306057	574.0211235	2.903610208	0.563100026	16.55749817	31.9239089	german	colored	cooled	y	n	y	y	y	y	y	y
65	9.178166396	234.6861204	1.548376498	0.637882952	15.06736082	12.57471752	fork	colored	cooled	y	y	y	y	y	y	y	y
66	3.87867266	74.83872556	2.974113035	0.303226149	8.261927144	14.15620727	theodolite	colored	cooled	n	n	y	n	y	y	y	n
67	8.160496242	307.2129671	2.441411221	0.680932616	9.151356842	31.54367939	german	mono	cooled	y	n	y	y	y	y	y	y
68	4.546374808	254.8665001	2.184146761	0.938655828	18.39066993	29.46332827	fork	colored	cooled	y	y	n	y	y	y	y	y
69	2.510737507	550.270322	2.831186652	0.320667845	19.67078439	17.90482957	fork	mono	cooled	y	y	n	n	y	y	n	y
70	4.460624821	103.496344	2.356970793	0.253239561	13.35239311	14.93909964	fork	colored	cooled	y	y	y	n	y	y	y	y
71	8.468605023	131.8778495	1.317272239	0.48608628	13.38174128	16.71155776	fork	colored	cooled	n	y	y	y	y	n	y	n
72	4.170785992	503.4557878	1.899029757	0.531433559	21.94579439	34.14015147	german	mono	cooled	n	y	y	n	y	y	y	y
73	0.140847742	80.48848763	2.098124948	0.925726739	18.11942787	21.73876101	fork	colored	cooled	y	y	y	y	y	n	y	y
74	8.85927706	5.027973537	2.712756221	0.527457328	17.2749822	33.6330436	fork	mono	cooled	y	y	n	y	n	y	y	y
75	8.944318058	420.0326364	2.828386044	0.625982816	11.60266885	21.0336711	german	mono	cooled	y	y	y	n	y	n	n	y
76	7.811353291	387.9464798	0.137389774	0.981778355	21.38020867	27.42674455	german	mono	cooled	y	y	y	n	y	y	y	n
77	6.669929427	450.8423122	2.45625577	0.418007075	20.85165006	26.70697973	theodolite	mono	cooled	y	y	y	y	y	y	y	y
78	7.964018567	198.6703324	1.031429143	0.444673944	9.161306726	27.10959102	fork	colored	cooled	y	y	y	y	n	y	y	y
79	3.855312228	122.1014399	2.489320137	0.65932405	14.67337008	18.1959007	fork	mono	cooled	n	y	y	y	y	y	n	y
80	2.973054076	120.9850998	0.780287157	0.265229922	24.95474088	29.42318862	fork	colored	cooled	y	y	y	y	n	y	y	y
81	6.571443491	391.832151	1.410627151	0.994901157	17.88821928	21.82590616	german	mono	cooled	y	y	y	y	y	y	y	n
82	8.055006287	323.3177882	2.688822404	0.948138011	18.00392804	33.06335983	theodolite	colored	cooled	y	y	y	n	n	y	y	y
83	2.830155109	470.6952615	1.832327644	0.781916724	13.68271619	22.21581118	theodolite	colored	cooled	n	y	y	y	y	y	y	y
84	8.120303049	166.4093537	1.223640822	0.96385044	16.55819452	34.13623101	fork	colored	cooled	y	n	y	y	y	y	n	y
85	8.530956581	433.383583	1.437088088	0.379245352	13.75326132	27.19041322	german	colored	cooled	y	n	y	n	n	y	y	n
86	4.009258757	254.5874538	2.576966711	0.275013261	18.24274826	20.67660311	fork	mono	cooled	y	n	y	y	y	y	n	y
87	8.729825672	228.3620652	2.463456403	0.237889092	12.05802974	20.27022351	fork	colored	cooled	y	y	y	n	y	n	y	y
88	6.132020193	60.28882602	2.028633486	0.748866496	10.67370752	20.55698348	fork	mono	uncooled	y	n	n	y	y	y	y	y
89	2.42388934	458.2605261	2.272699893	0.15468094	23.07042435	24.9064219	fork	mono	cooled	y	n	y	y	y	n	n	y
90	5.0839163	12.20668592	1.419459899	0.442109357	19.23121337	31.77785438	german	colored	cooled	n	n	y	y	y	y	y	y
91	7.26876556	532.3545678	2.458570124	0.143925328	17.73833764	28.4226629	fork	mono	cooled	y	y	y	y	y	y	n	y
92	8.441420312	538.9693898	0.801082656	0.897491931	13.82411642	20.82351461	fork	mono	cooled	y	y	n	n	y	n	n	y
93	5.871002165	389.1324058	2.274718616	0.171026485	20.61730899	31.2654202	fork	mono	cooled	y	y	y	y	y	n	n	y
94	6.562894803	242.3048385	0.946428709	0.718689071	12.32770906	33.94209255	fork	mono	uncooled	y	y	y	n	y	y	n	n
95	0.63131426	268.8096546	2.727808431	0.445689271	18.19827001	25.84393925	fork	mono	cooled	n	y	n	y	y	y	y	y
96	6.344024145	195.589905	1.724135017	0.467157424	19.5579232	23.08257604	theodolite	colored	cooled	n	y	n	y	n	y	y	y
97	2.764829621	188.2374285	0.313802993	0.959418159	13.06292752	27.31023672	fork	mono	cooled	y	n	y	y	y	y	y	n
98	8.103353637	73.97082792	2.346557045	0.236846522	9.249169524	30.35183349	german	mono	cooled	n	y	y	y	y	n	y	y
99	3.031260805	121.6352097	2.913513423	0.817211152	22.30164995	28.09993475	german	mono	cooled	y	n	y	n	y	n	n	y
100	6.406674158	450.5362934	2.688398611	0.993948285	16.85344982	31.10406851	fork	colored	uncooled	y	y	y	y	n	y	n	y
101	5.089253406	350.5497058	0.934819158	0.56033816	13.00341766	26.18040174	fork	mono	cooled	y	y	y	y	y	y	n	y
102	8.007578663	402.1982016	2.525399773	0.795696835	10.67123388	23.25242707	fork	mono	uncooled	y	y	y	y	y	y	n	y
103	1.567613349	215.9709846	2.281988781	0.521293283	13.48268723	13.0838916	fork	colored	cooled	y	y	y	y	y	y	y	y
104	8.820001271	80.78979785	2.727202037	0.616408273	10.62906053	12.99027366	fork	colored	cooled	n	y	y	y	y	n	y	y
105	7.73169332	526.7152514	0.685945759	0.506737809	24.06845797	19.21865065	fork	mono	uncooled	n	n	y	n	y	n	n	y
106	5.396895421	454.4231736	2.516439539	0.914900887	24.86401975	27.97937112	fork	mono	cooled	y	y	y	y	y	y	y	n
107	4.88128206	8.984942621	1.02332843	0.252126681	23.85165406	32.28950574	german	mono	cooled	n	y	y	y	n	n	n	y
108	2.09654208	319.3129277	0.711403341	0.152328445	16.09758705	25.16112919	german	mono	cooled	y	y	y	y	y	y	y	n
109	8.184824	42.5760844	0.409484815	0.21874267	9.756789012	26.31354235	theodolite	mono	cooled	y	n	y	y	y	y	y	y
