PhaveT_ID	PID	TID	Johnson_B	Johnson_V	Johnson_R	SDSS_u	SDSS_g	SDSS_r	SDSS_i	SDSS_z
0	0	126	y	y	y	n	y	y	y	y
1	0	246	n	y	y	n	y	n	n	y
2	0	271	n	y	y	n	y	n	n	y
3	0	272	n	y	y	n	y	n	n	n
4	0	282	n	y	n	n	y	n	n	n
5	0	349	n	y	n	n	y	n	n	n
6	0	426	n	n	n	n	y	n	n	n
7	0	570	n	n	n	n	n	n	n	n
8	0	607	n	n	n	n	n	n	n	n
9	0	619	n	n	n	n	n	n	n	n
10	0	673	n	n	n	n	n	n	n	n
11	0	978	n	n	n	n	n	n	n	n
12	0	1034	n	n	n	n	n	n	n	n
13	0	1073	n	n	n	n	n	n	n	n
14	0	1090	n	n	n	n	n	n	n	n
15	0	1205	n	n	n	n	n	n	n	n
16	0	1404	n	n	n	n	n	n	n	n
17	0	1534	n	n	n	n	n	n	n	n
18	0	1556	n	n	n	n	n	n	n	n
19	0	1744	n	n	n	n	n	n	n	n
20	0	1894	n	n	n	n	n	n	n	n
21	0	2581	n	n	n	n	n	n	n	n
22	0	2586	n	n	n	n	n	n	n	n
23	0	2656	n	n	n	n	n	n	n	n
24	0	2657	n	n	n	n	n	n	n	n
25	0	2838	n	n	n	n	n	n	n	n
26	0	2912	n	n	n	n	n	n	n	n
27	0	3003	n	n	n	n	n	n	n	n
28	0	3058	n	n	n	n	n	n	n	n
29	0	3068	n	n	n	n	n	n	n	n
30	0	3303	n	n	n	n	n	n	n	n
31	0	3393	n	n	n	n	n	n	n	n
32	0	3493	n	n	n	n	n	n	n	n
33	0	3588	n	n	n	n	n	n	n	n
34	0	3594	n	n	n	n	n	n	n	n
35	0	3748	n	n	n	n	n	n	n	n
36	0	3755	n	n	n	n	n	n	n	n
37	0	3829	n	n	n	n	n	n	n	n
38	0	4072	n	n	n	n	n	n	n	n
39	0	4436	n	n	n	n	n	n	n	n
40	0	4622	n	n	n	n	n	n	n	n
41	0	4642	n	n	n	n	n	n	n	n
42	0	4679	n	n	n	n	n	n	n	n
43	0	4808	n	n	n	n	n	n	n	n
44	0	4846	n	n	n	n	n	n	n	n
45	0	4862	n	n	n	n	n	n	n	n
46	0	4896	n	n	n	n	n	n	n	n
47	0	4975	n	n	n	n	n	n	n	n
48	0	5003	n	n	n	n	n	n	n	n
49	0	5143	n	n	n	n	n	n	n	n
50	0	5182	n	n	n	n	n	n	n	n
51	0	5239	n	n	n	n	n	n	n	n
52	0	5315	n	n	n	n	n	n	n	n
53	0	5526	n	n	n	n	n	n	n	n
54	0	5529	n	n	n	n	n	n	n	n
55	0	5588	n	n	n	n	n	n	n	n
56	0	5705	n	n	n	n	n	n	n	n
57	0	5720	n	n	n	n	n	n	n	n
58	0	5763	n	n	n	n	n	n	n	n
59	0	5778	n	n	n	n	n	n	n	n
60	0	5915	n	n	n	n	n	n	n	n
61	0	5926	n	n	n	n	n	n	n	n
62	0	5976	n	n	n	n	n	n	n	n
63	0	6016	n	n	n	n	n	n	n	n
64	0	6186	n	n	n	n	n	n	n	n
65	0	6310	n	n	n	n	n	n	n	n
66	0	6327	n	n	n	n	n	n	n	n
67	0	6557	n	n	n	n	n	n	n	n
68	0	6765	n	n	n	n	n	n	n	n
69	0	6915	n	n	n	n	n	n	n	n
70	0	6956	n	n	n	n	n	n	n	n
71	0	7025	n	n	n	n	n	n	n	n
72	0	7118	n	n	n	n	n	n	n	n
73	0	7207	n	n	n	n	n	n	n	n
74	0	7253	n	n	n	n	n	n	n	n
75	0	7303	n	n	n	n	n	n	n	n
76	0	7313	n	n	n	n	n	n	n	n
77	0	7407	n	n	n	n	n	n	n	n
78	0	7468	n	n	n	n	n	n	n	n
79	0	7540	n	n	n	n	n	n	n	n
80	0	7550	n	n	n	n	n	n	n	n
81	0	7856	n	n	n	n	n	n	n	n
82	0	7978	n	n	n	n	n	n	n	n
83	0	8073	n	n	n	n	n	n	n	n
84	0	8184	n	n	n	n	n	n	n	n
85	0	8353	n	n	n	n	n	n	n	n
86	0	8408	n	n	n	n	n	n	n	n
87	0	8424	n	n	n	n	n	n	n	n
88	0	8433	n	n	n	n	n	n	n	n
89	0	8489	n	n	n	n	n	n	n	n
90	0	8516	n	n	n	n	n	n	n	n
91	0	8639	n	n	n	n	n	n	n	n
92	0	8732	n	n	n	n	n	n	n	n
93	0	8738	n	n	n	n	n	n	n	n
94	0	8811	n	n	n	n	n	n	n	n
95	0	8846	n	n	n	n	n	n	n	n
96	0	8951	n	n	n	n	n	n	n	n
97	0	8977	n	n	n	n	n	n	n	n
98	0	9064	n	n	n	n	n	n	n	n
99	0	9146	n	n	n	n	n	n	n	n
100	0	9220	n	n	n	n	n	n	n	n
101	0	9386	n	n	n	n	n	n	n	n
102	0	9632	n	n	n	n	n	n	n	n
103	0	9877	n	n	n	n	n	n	n	n
104	0	9947	n	n	n	n	n	n	n	n
105	1	19	y	n	y	y	y	y	y	y
106	1	110	y	n	y	y	y	n	y	n
107	1	230	n	n	y	y	y	n	y	n
108	1	236	n	n	n	y	y	n	y	n
109	1	268	n	n	n	y	n	n	n	n
110	1	280	n	n	n	n	n	n	n	n
111	1	321	n	n	n	n	n	n	n	n
112	1	416	n	n	n	n	n	n	n	n
113	1	463	n	n	n	n	n	n	n	n
114	1	526	n	n	n	n	n	n	n	n
115	1	750	n	n	n	n	n	n	n	n
116	1	1129	n	n	n	n	n	n	n	n
117	1	1292	n	n	n	n	n	n	n	n
118	1	1452	n	n	n	n	n	n	n	n
119	1	1458	n	n	n	n	n	n	n	n
120	1	1502	n	n	n	n	n	n	n	n
121	1	1624	n	n	n	n	n	n	n	n
122	1	1733	n	n	n	n	n	n	n	n
123	1	1822	n	n	n	n	n	n	n	n
124	1	2048	n	n	n	n	n	n	n	n
125	1	2141	n	n	n	n	n	n	n	n
