PID	title	project_type	PI	description	aperture_upper_limit	aperture_lower_limit	FoV_upper_limit	FoV_lower_limit	pixel_scale_upper_limit_(/pix)	pixel_scale_lower_limit_(/pix)	mount_type(german,fork,theodolite)	camera_type_(colored,mono)	camera_type(cooled,uncooled)	Johnson_B	Johnson_V	Johnson_R	SDSS_u	SDSS_g	SDSS_r	SDSS_i	SDSS_z
0	Observe Supernova 1	transient	617	Observe Supernova 1 76 times	30	30	600	1	3	0.1	fork	mono	cooled	y	y	y	n	y	y	y	y
1	Observe GRB 1	regular	641	Observe GRB 1 45 times	30	30	600	1	3	0.1	german	mono	cooled	y	y	y	y	y	y	y	y
2	Observe Exoplanets 1	regular	25	Observe Exoplanets 1 65 times	30	30	600	1	3	0.1	german	colored	cooled	y	y	y	y	y	y	n	y
3	Observe Exoplanets 2	transient	140	Observe Exoplanets 2 45 times	30	30	600	1	3	0.1	fork	colored	cooled	y	n	y	y	y	n	y	y
4	Observe Supernova 2	regular	737	Observe Supernova 2 90 times	30	30	600	1	3	0.1	german	colored	cooled	y	n	y	y	y	y	y	y
5	Observe Exoplanets 3	regular	99	Observe Exoplanets 3 81 times	30	30	600	1	3	0.1	theodolite	colored	cooled	y	y	y	n	y	n	y	y
6	Observe Exoplanets 4	transient	737	Observe Exoplanets 4 50 times	30	30	600	1	3	0.1	german	mono	cooled	y	y	n	y	y	y	y	y
7	Observe GRB 2	regular	709	Observe GRB 2 1 times	30	30	600	1	3	0.1	fork	mono	uncooled	y	y	n	n	y	y	y	y
8	Observe Supernova 3	regular	380	Observe Supernova 3 85 times	30	30	600	1	3	0.1	fork	colored	uncooled	y	n	n	y	y	y	y	y
9	Observe Exoplanets 5	regular	676	Observe Exoplanets 5 43 times	30	30	600	1	3	0.1	fork	mono	uncooled	y	n	n	y	n	y	y	n
10	Observe Exoplanets 6	transient	557	Observe Exoplanets 6 30 times	30	30	600	1	3	0.1	fork	colored	cooled	n	y	y	n	y	y	y	y
11	Observe Asteriods 1	regular	36	Observe Asteriods 1 48 times	30	30	600	1	3	0.1	theodolite	colored	uncooled	y	n	y	y	y	y	y	y
12	Observe Exoplanets 7	regular	854	Observe Exoplanets 7 50 times	30	30	600	1	3	0.1	theodolite	colored	cooled	y	y	y	y	n	y	y	n
13	Observe Exoplanets 8	transient	537	Observe Exoplanets 8 54 times	30	30	600	1	3	0.1	theodolite	mono	cooled	y	n	y	n	y	y	y	y
14	Observe Star 1	regular	95	Observe Star 1 70 times	30	30	600	1	3	0.1	fork	mono	uncooled	y	y	y	y	y	y	n	y
15	Observe Exoplanets 9	regular	414	Observe Exoplanets 9 91 times	30	30	600	1	3	0.1	german	mono	uncooled	n	n	y	n	n	y	n	n
16	Observe Exoplanets 10	transient	737	Observe Exoplanets 10 59 times	30	30	600	1	3	0.1	fork	colored	uncooled	y	n	y	y	y	n	y	n
17	Observe Supernova 4	regular	944	Observe Supernova 4 74 times	30	30	600	1	3	0.1	fork	mono	cooled	y	y	y	y	y	n	n	n
18	Observe Exoplanets 11	regular	103	Observe Exoplanets 11 96 times	30	30	600	1	3	0.1	fork	mono	uncooled	y	y	y	n	y	y	y	y
19	Observe Star 2	regular	801	Observe Star 2 65 times	30	30	600	1	3	0.1	fork	mono	uncooled	y	n	y	y	y	y	y	y
20	Observe Galaxy 1	transient	8	Observe Galaxy 1 93 times	30	30	600	1	3	0.1	fork	mono	cooled	y	y	n	y	n	y	y	n
21	Observe Exoplanets 12	regular	940	Observe Exoplanets 12 46 times	30	30	600	1	3	0.1	german	mono	cooled	y	y	y	y	y	n	n	y
22	Observe Supernova 5	regular	912	Observe Supernova 5 56 times	30	30	600	1	3	0.1	german	colored	uncooled	y	y	y	y	y	y	n	n
23	Observe Galaxy 2	transient	641	Observe Galaxy 2 8 times	30	30	600	1	3	0.1	fork	colored	cooled	y	y	y	y	y	y	y	y
24	Observe Star 3	regular	194	Observe Star 3 37 times	30	30	600	1	3	0.1	fork	mono	cooled	y	y	y	y	y	y	y	y
25	Observe Galaxy 3	transient	243	Observe Galaxy 3 4 times	30	30	600	1	3	0.1	theodolite	colored	cooled	n	y	y	y	n	y	y	n
26	Observe Galaxy 4	regular	157	Observe Galaxy 4 54 times	30	30	600	1	3	0.1	german	mono	uncooled	y	n	y	y	y	y	y	n
27	Observe Supernova 6	regular	916	Observe Supernova 6 87 times	30	30	600	1	3	0.1	fork	mono	uncooled	y	y	y	n	n	y	y	n
28	Observe Galaxy 5	transient	494	Observe Galaxy 5 5 times	30	30	600	1	3	0.1	german	mono	uncooled	n	y	y	n	y	y	y	y
29	Observe Comet 1	regular	1	Observe Comet 1 80 times	30	30	600	1	3	0.1	german	mono	cooled	y	n	y	y	n	y	n	n
30	Observe Comet 2	regular	646	Observe Comet 2 60 times	30	30	600	1	3	0.1	theodolite	colored	uncooled	y	y	y	y	y	y	y	n
31	Observe Exoplanets 13	target_of_opportunity	412	Observe Exoplanets 13 59 times	30	30	600	1	3	0.1	theodolite	mono	uncooled	y	n	y	y	y	y	y	n
32	Observe Comet 3	regular	660	Observe Comet 3 89 times	30	30	600	1	3	0.1	german	mono	cooled	y	y	y	n	y	n	n	y
33	Observe Exoplanets 14	transient	728	Observe Exoplanets 14 36 times	30	30	600	1	3	0.1	german	mono	cooled	y	y	y	n	y	n	y	n
34	Observe Asteriods 2	regular	530	Observe Asteriods 2 61 times	30	30	600	1	3	0.1	theodolite	colored	cooled	n	y	y	y	y	y	n	y
35	Observe Supernova 7	transient	908	Observe Supernova 7 56 times	30	30	600	1	3	0.1	fork	mono	uncooled	y	y	y	y	y	y	y	n
36	Observe Exoplanets 15	transient	179	Observe Exoplanets 15 7 times	30	30	600	1	3	0.1	fork	colored	cooled	n	n	n	y	y	y	y	y
