TID	Name	RA	Dec
0	V* V1886 Cyg                       	314.0565248	36.36454385
1	RAFGL 2679                         	314.2225989	37.41959852
2	V* V1895 Cyg                       	315.2012311	36.53582121
3	V* V1896 Cyg                       	315.3321015	36.43166612
4	V* GR Cyg                          	316.1669923	37.27821833
5	V* V1062 Cyg                       	317.05083	36.82436
6	V* V450 Cyg                        	314.6984774	35.94178696
7	V* V1890 Cyg                       	314.445213	35.96745684
8	IRAS 20543+3656                    	314.0775596	37.14044121
9	V* V2483 Cyg                       	317.039015	36.47201252
10	V* V1876 Cyg                       	313.1146903	36.90991388
11	V* V2199 Cyg                       	314.8665546	36.65086748
12	V* V1883 Cyg                       	313.9803497	36.02017284
13	IRAS 20572+3522                    	314.8150976	35.56750201
14	Mis V0106                          	315.1550826	37.48189748
15	NSV 25425                          	315.1435755	37.49349477
16	NSV 25451                          	315.9569909	37.42781642
17	V* V1610 Cyg                       	315.57612	36.69361
18	* 61 Cyg B                         	316.7302669	38.74204504
19	V* V1233 Cyg                       	317.9458234	38.29368642
20	V* V1229 Cyg                       	317.3462	38.1958
21	V* V1226 Cyg                       	316.849501	38.41381092
22	V* V1065 Cyg                       	317.74608	38.95361
23	V* V471 Cyg                        	316.782319	38.5681418
24	* tau Cyg                          	318.6978855	38.04531782
25	V* V387 Cyg                        	318.905668	37.49766479
26	V* V1237 Cyg                       	319.3622997	37.57961923
27	V* V1235 Cyg                       	318.5825668	38.01624655
28	V* V479 Cyg                        	318.9783401	38.19134736
29	V* V1902 Cyg                       	319.281897	37.76675362
30	[WWV2004] J2109439+374937          	317.4332694	37.82597723
31	V* V1960 Cyg                       	318.1749424	37.54117002
32	SV* R 115                          	317.000298	37.57173995
33	NSV 13622                          	318.8042	38.48
34	NSV 25487                          	317.0433061	37.47133012
35	* 61 Cyg A                         	316.7247484	38.74941584
36	IRC +40465                         	316.071146	37.85185246
37	V* V1230 Cyg                       	317.5153074	36.91145964
38	NSV 25500                          	317.575	37.5833
39	NSV 25498                          	317.4	37.6833
40	NSV 25497                          	317.4	37.6833
41	NSV 25496                          	317.375	37.6833
42	NSV 25492                          	317.35	37.6833
43	NSV 25525                          	318.6	37.05
44	V* V1800 Cyg                       	315.7667081	37.80831227
45	V* V1804 Cyg                       	316.8741249	37.17918647
46	[D75] 123                          	316.6384129	37.54743618
47	V* V1060 Cyg                       	316.9257645	37.23577807
48	V* V2485 Cyg                       	318.905119	38.04102119
49	Mis V0374                          	315.6429431	38.20851567
50	NSV 13550                          	316.74733	37.8005
51	NSV 13555                          	316.9785	38.82486
52	NSV 13589                          	317.7967175	37.87184186
53	NSV 13591                          	317.8519409	37.58413559
54	NSV 13607                          	318.2843793	38.66694819
55	NSV 13659                          	319.8255429	37.9894462
56	NSV 25502                          	317.6313561	36.69641224
57	NSV 25531                          	318.7721964	38.64285788
58	NSV 25532                          	318.7739969	38.65077275
59	V* V2484 Cyg                       	318.8455188	38.06780991
60	NSV 25539                          	319.1917	37.9028
61	V* DU Cyg                          	318.1788771	36.73826211
62	NSV 13654                          	319.7861049	38.27870108
63	NSV 25438                          	315.675	37.8333
64	NSV 25476                          	316.525	37.6667
65	NSV 25527                          	318.6	37.0167
66	HD 203732                          	320.7432685	38.30246568
67	V* V1333 Cyg                       	319.7393815	39.0605491
68	V* V1236 Cyg                       	319.0885076	39.10507124
69	BD+38 4509                         	322.3567485	38.65287908
70	V* V1811 Cyg                       	322.2165913	39.17897914
71	NSV 25614                          	322.2	39.2167
72	V* V1812 Cyg                       	322.6695495	38.85063606
73	V* V1935 Cyg                       	321.7547506	38.42606671
74	V* V1936 Cyg                       	322.1245584	38.93465941
75	V* V1937 Cyg                       	322.974135	39.49981497
76	V* V473 Cyg                        	321.1844314	38.09939813
77	V* V1961 Cyg                       	321.132046	39.95546704
78	V* V2487 Cyg                       	319.7111012	39.90345665
79	[WWV2004] J2127296+391714          	321.8738682	39.28640613
80	V* V2072 Cyg                       	322.812426	38.77562432
81	V* V1239 Cyg                       	319.9387332	38.36596189
82	V* V1903 Cyg                       	320.251169	38.23087185
83	V* V1556 Cyg                       	319.5318001	39.29206858
84	NSV 13652                          	319.6636129	39.14560305
85	NSV 13661                          	319.8556833	39.23850508
86	V* V1334 Cyg                       	319.8424052	38.23746316
87	V* V632 Cyg                        	324.0175628	40.4387195
88	V* V630 Cyg                        	323.746585	40.67181387
89	V* V614 Cyg                        	322.6679385	40.93967011
90	V* V610 Cyg                        	322.2802868	40.66973905
91	V* V706 Cyg                        	323.9832763	40.84675717
92	V* V1338 Cyg                       	323.7691719	40.85702168
93	L 1578-44                          	324.1607523	39.45569404
94	V* V1962 Cyg                       	324.7937453	40.71436587
95	IRAS 21368+4018                    	324.7137822	40.53950196
96	V* V1614 Cyg                       	322.8688772	40.9751315
97	NSV 25686                          	323.7708	39.9483
98	V* V837 Cyg                        	322.0283527	39.93818538
99	LEE 228                            	323.5311664	39.07108187
100	V* V1907 Cyg                       	322.8112928	39.44981223
